company_name,fund_name,initial_date,m_strategy,pbs,setting,total_net_profit,modified_base,june_perf,week_perf,pday_perf,perf_2019,year_conv_perf,cum_perf
AIP,AIP US RED 전문투자형 사모부동산투자신탁 17호,2019-06-10,대체,삼성증권,119,119,999.97,0.00,0.00,0.00,0.00,-0.10,0.00
라이노스,라이노스 SPAC플러스 전문투자형 사모투자신탁 제3호,2018-02-08,SPAC,KB증권,16,18,"1,168.58",1.59,-0.63,-0.20,-0.52,12.36,16.86
DB,DB Repo채권1Y전문투자형사모투자신탁 제83호,2019-04-18,Repo,NH투자,96,97,"1,008.35",0.28,0.05,0.02,0.84,4.76,0.84
DB,DB Repo채권2M전문투자형사모투자신탁 제89호,2019-06-21,Repo,NH투자,12,12,"1,000.37",0.04,0.04,0.04,0.04,13.51,0.04
DB,DB Repo채권3M전문투자형사모투자신탁 제82호,2019-04-19,Repo,NH투자,108,109,"1,004.31",0.13,0.04,0.01,0.43,2.50,0.43
DB,DB Repo채권3M전문투자형사모투자신탁 제84호,2019-04-22,Repo,NH투자,110,110,"1,003.97",0.13,0.04,0.01,0.40,2.42,0.40
DB,DB Repo채권3M전문투자형사모투자신탁 제87호,2019-04-29,Repo,NH투자,96,96,"1,003.54",0.12,0.03,0.01,0.35,2.44,0.35
DB,DB Repo채권4M전문투자형사모투자신탁 제88호,2019-06-18,Repo,NH투자,55,55,"1,000.87",0.09,0.09,0.02,0.09,10.59,0.09
DB,DB Repo채권5M전문투자형사모투자신탁 제85호,2019-04-26,Repo,NH투자,55,55,"1,006.12",0.17,0.03,0.01,0.61,3.99,0.61
DB,DB Repo채권6M전문투자형사모투자신탁 제86호,2019-04-30,Repo,NH투자,55,56,"1,005.36",0.17,0.03,0.01,0.54,3.76,0.54
DB,DBRepo채권1Y전문투자형사모투자신탁 제81호,2019-03-21,Repo,NH투자,124,125,"1,010.43",0.28,0.07,0.01,1.04,4.14,1.04
DB,DB교환사채전문투자형사모투자신탁 제1호,2019-04-09,Repo,NH투자,16,15,944.34,1.61,1.65,-0.25,-5.57,-27.83,-5.57
DS,DS증권Steady-Up채권형1M전문투자형사모투자신탁 제60호 종류 C-W,2019-05-30,Repo,NH투자,100,100,"1,001.51",0.13,0.04,0.02,0.15,2.51,0.15
DS,DS증권Steady-Up채권형6M전문투자형사모투자신탁 제28호 종류 C-W,2019-05-21,Repo,NH투자,750,751,"1,001.95",0.11,-0.02,0.00,0.20,2.30,0.20
교보증권,교보증권 Royal-Class PIMCOGIS IncomeFund연계 전문사모투자신탁 제1호(채권-파생형,2018-11-05,Repo,삼성증권,116,118,"1,020.31",0.17,0.02,0.00,1.48,3.25,2.03
교보증권,교보증권 Royal-Class 레포Plus 채권투자형 9M 전문사모투자신탁 K-8호,2018-11-23,Repo,미래에셋대우,33,34,"1,016.92",0.16,0.06,0.01,1.36,2.94,1.69
교보증권,교보증권 Royal-Class 채권 1Y 전문사모투자신탁 N-11호,2018-11-29,Repo,삼성증권,62,63,"1,018.91",0.18,0.00,-0.01,1.62,3.38,1.89
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-57호,2018-11-08,Repo,삼성증권,86,87,"1,020.07",0.19,0.01,-0.01,1.59,3.26,2.01
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-58호,2018-11-14,Repo,삼성증권,78,80,"1,022.35",0.16,0.03,0.01,1.66,3.73,2.24
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-59호,2018-11-20,Repo,삼성증권,64,66,"1,022.55",0.11,0.04,0.02,1.69,3.86,2.26
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-60호,2018-11-16,Repo,삼성증권,117,119,"1,020.40",0.18,0.00,-0.01,1.64,3.43,2.04
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-61호,2018-11-26,Repo,삼성증권,64,66,"1,023.23",0.21,0.00,-0.01,1.81,4.10,2.32
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-62호,2018-11-28,Repo,삼성증권,135,137,"1,019.23",0.18,0.01,0.00,1.59,3.42,1.92
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-63호,2018-11-30,Repo,삼성증권,128,130,"1,018.09",0.17,0.02,0.00,1.51,3.25,1.81
교보증권,교보증권 채권투자플러스 1Y 전문사모투자신탁 W-64호,2018-12-03,Repo,삼성증권,113,114,"1,012.39",0.14,0.04,0.01,1.26,2.26,1.24
현대자산,현대콘티키전문사모투자신탁1호 종류C-s,2014-09-27,Quant Long-Short,한투증권,13,12,"1,043.77",0.58,-1.27,-0.71,1.08,0.92,4.38
미래에셋,미래에셋스마트Q오퍼튜니티전문사모투자신탁1호종류C-F,2011-12-16,Quant / Multi-strategy,NH투자,82,83,"1,183.21",1.28,-0.23,0.05,2.47,2.44,18.32
인벡스,인벡스 웰스멘토 전문투자형 사모투자신탁 제1호(종류 C-s),2017-01-18,Quant,한투증권,7,6,916.32,2.98,0.17,-0.57,6.60,-3.46,-8.37
타임폴리오,타임폴리오 The Time-Q2 전문투자형사모투자신탁 종류 C-S,2017-03-27,Quant,신한금융투자,792,787,"1,253.21",-0.13,-0.48,-0.40,5.90,11.33,25.32
밸류시스템,L밸류시스템 프리빌리지 전문투자형 사모투자신탁 제1호,2016-11-14,Pre-IPO/ Mezzanine,미래에셋대우,86,89,"1,045.75",0.40,-0.04,-0.13,3.52,1.76,4.57
밸류시스템,밸류시스템 신기술 메자닌 전문투자형 사모투자신탁,2017-10-18,Pre-IPO / Mezzanine,NH투자,13,15,"1,584.48",0.29,-0.15,-0.15,13.95,34.92,58.45
밸류시스템,밸류시스템 차오름 전문투자형 사모투자신탁 C-A클래스,2017-10-19,Pre-IPO / Mezzanine,미래에셋대우,18,18,979.87,2.55,0.02,-0.13,6.90,-1.20,-2.01
